pre.0.weight     torch.Size([24, 3, 3, 3])
stage4.3.residual.1.weight       torch.Size([232])
stage4.3.residual.1.bias         torch.Size([232])
stage4.3.residual.1.running_mean         torch.Size([232])
stage4.3.residual.1.running_var          torch.Size([232])
stage4.3.residual.1.num_batches_tracked          torch.Size([])
stage4.3.residual.3.weight       torch.Size([232, 1, 3, 3])
stage4.3.residual.3.bias         torch.Size([232])
stage4.3.residual.4.weight       torch.Size([232])
stage4.3.residual.4.bias         torch.Size([232])
stage4.3.residual.4.running_mean         torch.Size([232])
stage4.3.residual.4.running_var          torch.Size([232])
stage4.3.residual.4.num_batches_tracked          torch.Size([])
stage4.3.residual.5.weight       torch.Size([232, 232, 1, 1])
stage4.3.residual.5.bias         torch.Size([232])
stage4.3.residual.6.weight       torch.Size([232])
stage4.3.residual.6.bias         torch.Size([232])
stage4.3.residual.6.running_mean         torch.Size([232])
stage4.3.residual.6.running_var          torch.Size([232])
stage4.3.residual.6.num_batches_tracked          torch.Size([])
conv5.0.weight   torch.Size([1024, 464, 1, 1])
conv5.0.bias     torch.Size([1024])
conv5.1.weight   torch.Size([1024])
conv5.1.bias     torch.Size([1024])
conv5.1.running_mean     torch.Size([1024])
conv5.1.running_var      torch.Size([1024])
conv5.1.num_batches_tracked      torch.Size([])
fc.weight        torch.Size([100, 1024])
fc.bias          torch.Size([100])
filter_number_all is 8022, filter_number_affected is 0
